Details of Incentives and Financial Assistance extended to MSME units in Karnataka  as per Industrial Policy 2014-19,,,,,,,
Sl.No,District,Name of the Unit & Unit Address,,Incentive,"Amount  
(In Rs.)",Year,
94,BENGALURU URBAN,"M/s. Shakthi Tools & Engineering ,","No: B-30, 1st Cross, 1st Stage, Peenya Industrial Area, Bangalore-560058.                                                     ",International Organization for Standardization," 75,000 ",2018-19,
95,BENGALURU URBAN,"M/s. Engineering Steel Fabricating Works, ","# 161, 10th Main Road, 2nd Phase, Peenya Industrial Area, Bangalore- 560058.                                        ",International Organization for Standardization," 49,050 ",2018-19,
96,BENGALURU URBAN,"M/s. Kavya Industries, ","No. 2, 5th  Main, Ward No. 12, Kalanagar Main Road, Near SDA high School, Kammagondanahalli, Jalahalli West, Bangalore-560015.                                                                                                              ",International Organization for Standardization," 63,637 ",2018-19,
97,BENGALURU URBAN,"M/s. Sujatha Industries, ","No. 12/1A, Sadashivaiah Industrial Area, Lakshmipura Main Road, Abbigere, Chikkabanavara Post, Bangalore-560090.                                              ",International Organization for Standardization," 56,879 ",2018-19,
98,BENGALURU URBAN,"M/s. Sri Manjunatha Precision Works, ","No. 637/6, 5th Cross, Lakshmipura Main Road, Chikkabanavara Post, Abbigere, Bangalore-560090.                                                                                                       ",International Organization for Standardization," 61,050 ",2018-19,
99,BENGALURU URBAN,"M/s. Shreya Chemicals, ","No. 176/ 177, Aziz Sait Industrial Town, Nayandahalli, Mysore Road, Bangalroe- 560039.                                       ",International Organization for Standardization," 60,100 ",2018-19,
100,BENGALURU URBAN,"M/s. I-O Sign International Pvt. Ltd., ","#251/A1, Phase-3, Bommasandra Industrial Area, Hosur Road, Bangalore-99                            
",International Organization for Standardization," 75,000 ",2018-19,
101,RAMANAGARA,"M/s. Jayalakshmi Poly Packs (P) Ltd., ","Plot No. 86, KIADB Industrial Area, II Phase, II Sector, Bidadi- 562108, Ramanagara.                          ",International Organization for Standardization," 75,000 ",2018-19,
102,BENGALURU URBAN,"M/s. Rams Auto Fab,  ","C-14, 2nd Stage, 1st Cross, Bommasandra Industrial Estate, Bommbasandra, Bangalore-560099.                                                 ",International Organization for Standardization," 65,055 ",2018-19,
103,BENGALURU URBAN,"M/s. Lords Engineering, ","No. 61/29, Nadakerappa Indl. Estate, Hegganahalli, Peenya 2nd Stage, Vishwaneedam Post, Bangalore-560091.                                                               ",International Organization for Standardization," 70,300 ",2018-19,
104,BENGALURU URBAN,"M/s. Chetan Gears, ","No. 72, 6th Cross, Ganapathinagara, Rajagopaanapura Main Road, Peenya Industrial Area, Bangalore-560058.                                                  ",International Organization for Standardization," 49,750 ",2018-19,
105,BENGALURU URBAN,"M/s. Axis Plaastics Transition, ","No. 645/ 729, 4th Cross, Bilekahalli, Bannerghatta Road, Bangalore- 560076.                                                      ",International Organization for Standardization," 63,750 ",2018-19,
106,BENGALURU URBAN,M/s. JCK Global Spraytech Pvt. Ltd. ,"Company, Plot No. 13B, KIADB Industrial Area, 2nd Phase, Kumbalagod, Bengaluru-560 074.                                                                                                  ",International Organization for Standardization," 75,000 ",2018-19,
